Column,Non-Null Count,Dtype
id,77,object
mag,77,float64
place,77,object
time,77,int64
updated,77,int64
tz,0,object
url,77,object
detail,77,object
felt,12,float64
cdi,12,float64
mmi,19,float64
alert,3,object
status,77,object
tsunami,77,int64
sig,77,int64
net,77,object
code,77,object
ids,77,object
sources,77,object
product_types,77,object
nst,77,int64
dmin,77,float64
rms,77,float64
gap,77,int64
magType,77,object
seismic_event,77,object
title,77,object
longitude,77,float64
latitude,77,float64
depth_km,77,float64
